Restaurant_Name,Ranking,Price_Range,Cuisine_Type,Menu Items
Café de l'Homme,4.3,51 € et plus,Française,[]
Sacré Frenchy !,4.5,De 31 € à 50 €,Française - Traditionnelle,"['accompanied', 'on', 'jb', 'chef', 'des', 'meal', 'ice', 'burger', 'summer', 'seaweed', 'mango', 'ros', 'rosso', 'toast', 'chestnuts', 'carrot', 'ask', 'marker', 'naughty', 'elbow', 'ribs', 'parsley', 'for', 'fashioned', 'laphroaig', 'lovely', 'grain', 'cucumber', 'mordue', 'caipiroska', 'brioche', 'cardhu', 'roast', 'jerry', 'old', 'tartare', 'lettuce', 'in', 'truffle', 'infused', 'royal', 'your', 'and', 'selection', 'rosemary', 'bndictine', 'spumante', 'saint', 'fruits', 'elderflower', 'hour', 'pastis', 'au', 'chivas', 'xo', 'berry', 'grand', 'pineapple', 'sour', 'le', 'citrus', 'yoghurt', 'lime', 'diplomatico', 'daily', 'aprol', 'quinoa', 'orange', 'baileys', 'liqueur', 'potaufeu', 'salad', 'dictator', 'side', 'walnut', 'wakeup', 'james', 'from', 'sailor', 'jack', 'beerla', 'cherry', 'indulgence', 'limecrusted', 'way', 'hardboiled', 'share', 'soda', 'melifera', 'mescal', 'scoop', 'goat', 'fleur', 'dish', 'filled', 'butcher', 'mariner', 'to', 'pork', 'de', 'mushrooms', 'subite', 'champagne', 'vegetable', 'candied', 'ambre', 'kiwi', 'all', 'up', 'grey', 'mushroom', 'sugarcane', 'proustian', 'moscow', 'espresso', 'dry', 'creams', 'mustard', 'cream', 'garlic', 'or', 'brisure', 'vie', 'goose', 'blonde', 'figs', 'frenchy', 'veal', 'marieantoinettes', 'heineken', 'dressing', 'napoleon', 'call', 'ale', 'perfectly', 'nikka', 'aop', 'beefeater', 'sel', 'but', 'onion', 'chips', 'zucchini', 'memory', 'reimagined', 'vegan', 'patron', 'napolon', 'revolutionary', 'the', 'eggs', 'pear', 'club', 'sugar', 'leeks', 'prat', 'cinzano', 'our', 'daniels', 'tuna', 'diplomat', 'spinach', 'homemade', 'mule', 'shoots', 'campari', 'enfants', 'a', 'mark', 'mesclun', 'salt', 'haig', 'lemon', 'flakes', 'monseigneur', 'of', 'home', 'lamb', 'ginger', 'origin', 'get', 'madeleine', 'bitters', 'mojito', 'detox', 'squash', 'cocktails', 'cider', 'childhood', 'platter', 'west', 'desperados', 'san', 'apple', 'glendfidish', 'fayette', 'gin', 'france', 'zubrowka', 'caesar', 'carefully', 'red', 'sans', 'garnish', 'white', 'mint', 'carrots', 'romaine', 'martini', 'made', 'lemoninfused', 'pistachio', 'rousseau', 'bone', 'hennessy', 'server', 'servings', 'scallop', 'chefs', 'millefeuille', 'gordons', 'friday', 'corona', 'with', 'breast', 'eggplant', 'jos', 'filet', 'tonic', 'lager', 'nori', 'layed', 'lemony', 'tea', 'yogurt', 'london', 'vierge', 'tomatoes', 'baby', 'havana', 'happy', 'carabes', 'moment', 'cheese', 'chartreuse', 'malo', 'served', 'chocolate', 'duck', 'one', 'prosecco', 'lagavulin', 'rice', 'strawberry', 'option', 'charolais', 'angostura', 'chicken', 'seasonal', 'crumble', 'south', 'bourbon', 'rum', 'super', 'marrow', 'southwest', 'mayonnaise', 'eau', 'puree', 'beef', 'gras', 'organic', 'gratin', 'vinaigrette', 'pastries', 'sacred', 'pastry', 'angus', 'amaretto', 'shoulder', 'xxl', 'monkey', 'jameson', 'grapa', 'stuffed', 'slices', 'raspberry', 'vodka', 'grandmothers', 'sacr', 'cointreau', 'fruit', 'fig', 'beets', 'verte', 'rib', 'cheeses', 'ham', 'classic', 'sesame', 'soup', 'crme', 'whisky', 'cuisine', 'cl', 'roasted', 'brle', 'bombay', 'people', 'rivires', 'shavings', 'clan', 'casserole', 'sauce', 'monday', 'papa', 'g', 'spit', 'la', 'whole', 'mashed', 'vsop', 'honey', 'lillet', 'pepper', 'greens', 'noilly', 'macaron', 'mort', 'foie', 'comt', 'vegetarian', 'peppers', 'smoked', 'spritz', 'salmon', 'selected', 'ricard', 'jam', 'passion', 'miniature', 'oat', 'pasta', 'profiterole', 'armagnac', 'syrup', 'sorbets', 'sorbet', 'even', 'fries', 'bourguignon', 'kir', 'vanilla', 'nice', 'peel', 'snails', 'hens', 'mignon', 'bianco', 'timeless', 'beer', 'secret', 'warm', 'silver', 'breaded', 'girl', 'pm', 'hendriks', 'blanquette', 'gourmand', 'coffee', 'water', 'martin', 'zaccapa', 'potatoes', 'monaco', 'wine', 'halloumi', 'delicious', 'basil', 'negroni', 'available', 'grilled', 'meringue', 'crushed', 'avocado', 'tenderloin', 'ripe', 'don', 'caf', 'beeripa', 'egg', 'st', 'vermouth', 'hazelnuts', 'sparkling', 'anchor', 'remy', 'fresh', 'brown', 'gts', 'kailua', 'french', 'blanc', 'choux', 'parmesan', 'andor', 'juice', 'cut', 'chablis', 'more', 'tartar', 'belvedere', 'end', 'xl', 'burgundy', 'by', 'historical', 'cuba']"
Tracé,4.9,51 € et plus,Française contemporaine,[]
"Nellu, Food and Wine Bar",4.8,51 € et plus,Bar à Vin,[]
L'Empire du 8ème,4.6,De 31 € à 50 €,Française,"['accompanied', 'sauteed', 'on', 'beefsteak', 'sauce', 'octopus', 'prime', 'basmati', 'ice', 'scoop', 'mashed', 'to', 'pieces', 'braised', 'with', 'mushrooms', 'cutlet', 'heirloom', 'sole', 'provence', 'choice', 'pappardelle', 'wilted', 'sauces', 'bream', 'style', 'heart', 'roquefort', 'cooked', 'balsamic', 'fillet', 'cream', 'or', 'mash', 'passion', 'sucrine', 'sea', 'tataki', 'served', 'chocolate', 'asparagus', 'tries', 'rice', 'veal', 'risotto', 'chicken', 'tartare', 'sorbet', 'lettuce', 'in', 'fries', 'griddle', 'butter', 'exotic', 'empire', 'seasonal', 'gourmet', 'burrata', 'vanilla', 'truffle', 'snails', 'dover', 'supreme', 'your', 'and', 'cookie', 'steak', 'beef', 'prawns', 'fruits', 'the', 'melon', 'tomato', 'coffee', 'board', 'cake', 'pizza', 'potatoes', 'barnaise', 'tha', 'marinade', 'creamy', 'tuna', 'spinach', 'homemade', 'ends', 'a', 'handchopped', 'grilled', 'pineapple', 'posta', 'avocado', 'lava', 'citrus', 'large', 'curry', 'of', 'lamb', 'x', 'stuffed', 'fresh', 'fruit', 'ceviche', 'serrano', 'salad', 'side', 'gr', 'mediterraneanstyle', 'rib', 'cod', 'sharing', 'meunire', 'assorted', 'ham', 'vegetables', 'platter', 'teriyaki', 'serves', 'carpaccio', 'kg', 'shank', 'coulis', 'profiteroles', 'softbaked', 'seared', 'burgundy', 'by', 'white', 'broccoli']"
Restaurant Market By Chef Jean Georges,4.6,De 31 € à 50 €,Française,"['roll', 'fondue', 'sauce', 'herbs', 'ice', 'jacqueline', 'sushi', 'reserve', 'menu', 'crispy', 'caramel', 'with', 'mushrooms', 'toast', 'vendange', 'crumbs', 'pairing', 'champagne', 'billecartsalmon', 'gewurztraminer', 'december', 'pez', 'saintestphe', 'turbot', 'foie', 'maxime', 'choice', 'flower', 'gorgonzola', 'salmon', 'beyer', 'diver', 'chanterelle', 'mustard', 'cheese', 'cream', 'herb', 'spicy', 'ricotta', 'passion', 'parsnips', 'chocolate', 'praline', 'stephane', 'caviar', 'crab', 'appetizer', 'montez', 'satay', 'miso', 'chicken', 'tartare', 'domaine', 'butter', 'vanilla', 'truffle', 'laroche', 'and', 'puree', 'warm', 'beef', 'gras', 'saint', 'fontina', 'tomato', 'scallops', 'martin', 'cake', 'pizza', 'potatoes', 'organic', 'sprouts', 'moret', 'tuna', 'marinade', 'wine', 'david', 'samosa', 'tardive', 'basil', 'vinaigrette', 'black', 'romain', 'nd', 'avocado', 'citrus', 'tenderloin', 'of', 'cabbage', 'toasted', 'sourdough', 'egg', 'ginger', 'leon', 'hazelnut', 'dill', 'fruit', 'salad', 'brut', 'papillote', 'brussels', 'radish', 'plate', 'joseph', 'chablis', 'ravioli', 'dessert', 'escarole', 'entree', 'sunday', 'roasted', 'smooth', 'shrimp', 'appleceleriac']"
Le Replat de Montmartre,4.6,30 € ou moins,Européenne,"['sage', 'sauce', 'ice', 'fish', 'belle', 'three', 'la', 'trio', 'mashed', 'menu', 'pumpkin', 'crispy', 'potato', 'pork', 'de', 'with', 'mushrooms', 'pistache', 'olron', 'charcuterie', 'foie', 'terrine', 'aveyronnais', 'dcembre', 'beetroots', 'cream', 'cheese', 'chocolate', 'duck', 'anglaise', 'jambon', 'trout', 'chicken', 'reblochoncheese', 'fines', 'hlne', 'brule', 'cocotte', 'vanilla', 'butternut', 'and', 'saucisson', 'fromages', 'selection', 'beef', 'gras', 'fricassee', 'confit', 'croutons', 'eggs', 'pear', 'our', 'wine', 'wagyu', 'homemade', 'gratin', 'cauliflowers', 'cecina', 'claires', 'black', 'meringue', 'le', 'angus', 'n', 'cabbage', 'pays', 'velout', 'shepherds', 'cod', 'pie', 'from', 'soup', 'crme', 'crozetpasta', 'girolles', 'gravlax', 'roasted', 'oysters', 'white', 'flottante']"
Pamela Popo,4.8,51 € et plus,Française,"['devilled', 'sauce', 'herbs', 'pickles', 'bone', 'la', 'seeds', 'peanut', 'grandma', 'mashed', 'mango', 'pumpkin', 'sweet', 'crispy', 'de', 'dried', 'braised', 'with', 'cheesecake', 'filet', 'pepper', 'ribeye', 'bouillon', 'tart', 'foie', 'local', 'for', 'smoked', 'truffled', 'bearnaise', 'provenale', 'baby', 'tomatoes', 'salmon', 'style', 'pokcho', 'roquefort', 'sauted', 'cheese', 'cream', 'mash', 'passion', 'chocolate', 'duck', 'figs', 'rice', 'satay', 'miso', 'chicken', 'nuts', 'chimichurri', 'butter', 'bourguignon', 'brule', 'pecan', 'pavlova', 'salata', 'cheek', 'green', 'truffle', 'snails', 'butternut', 'supreme', 'micuit', 'marrow', 'mayonnaise', 'and', 'mascarpone', 'steak', 'beef', 'gras', 'chutney', 'fruits', 'peanuts', 'eggs', 'pear', 'farm', 'houmous', 'potatoes', 'creme', 'igp', 'homemade', 'basil', 'a', 'cecina', 'chateaubriand', 'aberdeen', 'pineapple', 'len', 'crushed', 'sour', 'lemon', 'tarama', 'pefumed', 'tenderloin', 'angus', 'ginger', 'endive', 'oil', 'orange', 'gnocchi', 'blossom', 'tropical', 'lemongrass', 'dill', 'fruit', 'serrano', 'salad', 'cod', 'ham', 'platter', 'soup', 'apple', 'parmesan', 'perfumed', 'minced', 'coconut', 'red', 'roasted', 'gouda', 'saintmarcellin', 'timut', 'pine']"
Restaurant Assanabel Saint-Germain-des-Prés - Cuisine libanaise,4.8,30 € ou moins,Libanaise,[]
Le Choupinet,4.3,De 31 € à 50 €,Française,[]
Restaurant Kunitoraya,,51 € et plus,Japonaise,[]
Bloom Sushi Batignolles,4.5,30 € ou moins,Japonaise,"['fois', 'tomates', 'sel', 'roll', 'vgtal', 'dalgues', 'sches', 'et', 'figues', 'sauce', 'une', 'sur', 'california', 'betterave', 'accompagn', 'dakon', 'la', 'compos', 'coupe', 'gras', 'crevettes', 'vgtales', 'vgtale', 'sak', 'croustillants', 'kimchi', 'perles', 'damandes', 'dune', 'fum', 'ou', 'au', 'mer', 'crunch', 'de', 'lit', 'assiette', 'crme', 'champignons', 'futo', 'un', 'truffe', 'pcs', 'champagne', 'saumon', 'gyozas', 'ptissire', 'dedamame', 'bche', 'p', 'confiture', 'tartare', 'gurande', 'maki', 'yuzu', 'tarama', 'spring', 'mr']"
Neni Paris,4.5,30 € ou moins,Israelienne,"['choix', 'enfant', 'les', 'aux', 'rouge', 'la', 'pancake', 'personne', 'ou', 'desserts', 'de', 'faon', 'toast', 'gaufre', 'pamplemousse', 'boisson', 'pain', 'charcuterie', 'comt', 'dorange', 'nature', 'demande', 'pourra', 'rosette', 'houmouset', 'soupe', 'bacon', 'proposs', 'uf', 'graines', 'deux', 'tre', 'jambon', 'neni', 'chaude', 'mezze', 'carte', 'miel', 'brouill', 'amens', 'et', 'une', 'fromages', 'tartiner', 'changer', 'fruits', 'anim', 'yaourt', 'sandwich', 'mortadelle', 'au', 'muffin', 'croissant', 'un', 'jus', 'duf', 'stand', 'types', 'chocolat', 'toasts', 'labneh', 'le', 'type', 'emmental', 'amen', 'baguette', 'minute', 'brie', 'fruit', 'salades', 'seront', 'pate', 'confitures', 'saumon', 'frache', 'dessert', 'boulangerie', 'bleu', 'par', 'nos', 'crales', 'autre', 'cuisiniers', 'lun', 'plat']"
DROUANT,4.6,51 € et plus,Française,"['orange', 'rosette', 'velout', 'and', 'sauce', 'blood', 'gras', 'gray', 'lobster', 'fillet', 'jelly', 'crispy', 'ros', 'served', 'potatoes', 'parisianstyle', 'person', 'veal', 'pomegranate', 'in', 'rose', 'artichoke', 'courses', 'per', 'shrimp', 'foie', 'amusebouches', 'celeriac', 'truffle', 'truffled', 'saffron', 'melanosporum']"
VERDE BY YEEELS,4.3,51 € et plus,Européenne contemporaine,"['tartufo', 'choron', 'puristes', 'fta', 'amoplate', 'des', 'sauce', 'ecaille', 'ala', 'rouge', 'les', 'la', 'aux', 'plus', 'tarte', 'avoisine', 'croustillants', 'vous', 'dietetique', 'excellence', 'coco', 'lintemporel', 'jaunes', 'l', 'de', 'pour', 'ibrique', 'pistache', 'al', 'tide', 'strozzapreti', 'authentique', 'repute', 'tiques', 'vitello', 'rape', 'non', 'fumee', 'piemantais', 'langoustines', 'beurre', 'potager', 'quartier', 'condiment', 'chorizo', 'mi', 'dons', 'charnue', 'vierge', 'partager', 'turbotin', 'parfume', 'personnes', 'serieux', 'snackes', 'originalite', 'mousse', 'perdue', 'moment', 'sa', 'dautamne', 'ricotta', 'baeuf', 'sucrine', 'emile', 'deux', 'pav', 'cuit', 'assiette', 'champignons', 'safran', 'caviar', 'gingembre', 'truffe', 'jambon', 'coquelet', 'brioche', 'uniquement', 'tiramisu', 'clients', 'regions', 'risotto', 'noires', 'sorbets', 'delicat', 'horticole', 'noisettes', 'partie', 'savaureux', 'riquette', 'boeuf', 'pavlova', 'verde', 'part', 'glaces', 'tendre', 'chatouillard', 'servi', 'lexcellece', 'onctueux', 'present', 'pol', 'poulpe', 'grill', 'lait', 'cappuccino', 'chateaubriant', 'chips', 'typiquement', 'et', 'salade', 'frais', 'une', 'exotique', 'feu', 'baerii', 'marinire', 'tonnato', 'accompagnements', 'si', 'ail', 'recette', 'saint', 'signature', 'thon', 'veau', 'marin', 'agneau', 'pates', 'aromatises', 'acidulee', 'plaisir', 'cabillaud', 'plancha', 'heritage', 'au', 'torrfies', 'pizza', 'souhaitez', 'houmous', 'truffes', 'bar', 'rotie', 'en', 'cote', 'un', 'chair', 'unique', 'jus', 'croustillant', 'charbon', 'main', 'parfum', 'anguille', 'a', 'vinaigrette', 'sauts', 'mulsion', 'chocolat', 'grand', 'frites', 'recherchee', 'feistif', 'lgumes', 'le', 'mamier', 'approche', 'oeuf', 'pousses', 'four', 'gastranames', 'palourdes', 'xrs', 'simple', 'du', 'olives', 'capres', 'saveurs', 'ceviche', 'rpes', 'bois', 'v', 'ravioles', 'ferias', 'francaise', 'yeeels', 'verte', 'padron', 'rouless', 'grille', 'citron', 'delicieusement', 'leger', 'fenouil', 'betteraves', 'pommes', 'ragout', 'plate', 'crme', 'pure', 'pomme', 'parmesan', 'gremolata', 'ouvert', 'saumon', 'ramagne', 'dans', 'dessert', 'jacques', 'vertes', 'qui', 'pic', 'sambardier', 'basilic', 'deicat', 'par', 'comme', 'terre', 'authen', 'thibault', 'd', 'flambee', 'paleron', 'noix', 'plat']"
